,Team,Number of Olympic Games,Gold,Silver,Bronze,Total,Number of Olympic Games,Gold,Silver,Bronze,Total,Number of Olympic Games,Gold,Silver,Bronze,Total
135,Togo ,11,0,0,1,1,2,0,0,0,0,13,0,0,1,1
136,Tonga ,10,0,1,0,1,2,0,0,0,0,12,0,1,0,1
137,Trinidad and Tobago ,18,3,5,11,19,4,0,0,0,0,22,3,5,11,19
138,Tunisia ,15,5,3,7,15,0,0,0,0,0,15,5,3,7,15
139,Turkey ,23,41,26,36,103,18,0,0,0,0,41,41,26,36,103
140,Turkmenistan ,7,0,1,0,1,0,0,0,0,0,7,0,1,0,1
141,Uganda ,16,4,4,3,11,0,0,0,0,0,16,4,4,3,11
142,Ukraine ,7,35,36,68,139,8,3,2,4,9,15,38,38,72,148
143,United Arab Emirates ,10,1,0,1,2,0,0,0,0,0,10,1,0,1,2
144,United States ,28,1061,830,738,2629,24,113,122,95,330,52,1174,952,833,2959
145,Uruguay ,22,2,2,6,10,1,0,0,0,0,23,2,2,6,10
146,Uzbekistan ,7,10,6,20,36,8,1,0,0,1,15,11,6,20,37
147,Venezuela ,19,3,7,9,19,4,0,0,0,0,23,3,7,9,19
148,Vietnam ,16,1,3,1,5,0,0,0,0,0,16,1,3,1,5
149,Virgin Islands ,13,0,1,0,1,8,0,0,0,0,21,0,1,0,1
150,Yugoslavia ,16,26,29,28,83,14,0,3,1,4,30,26,32,29,87
151,Zambia ,14,0,1,1,2,0,0,0,0,0,14,0,1,1,2
152,Zimbabwe ,14,3,4,1,8,1,0,0,0,0,15,3,4,1,8
153,Independent Olympic Athletes ,3,1,0,1,2,0,0,0,0,0,3,1,0,1,2
154,Independent Olympic Participants ,1,0,1,2,3,0,0,0,0,0,1,0,1,2,3
155,Mixed team ,3,11,6,8,25,0,0,0,0,0,3,11,6,8,25
